id,code,name,plan_id/id,parent_id/id,line_seq
"dept_01070","01070",ภาควิชาวิศวกรรมโทรคมนาคม,analytic_plan_departments,dept_01,
"dept_01071","01071",วิศวกรรมไฟฟ้าสื่อสารและอิเล็กทรอนิกส์(ต่อเนื่อง),analytic_plan_departments,dept_01070,
"dept_01072","01072",วิศวกรรมอวกาศและภูมิสารสนเทศ,analytic_plan_departments,dept_01070,
"dept_01080","01080",ภาควิชาวิศวกรรมไฟฟ้า,analytic_plan_departments,dept_01,
"dept_01081","01081",วิศวกรรมไฟฟ้า (ต่อเนื่อง),analytic_plan_departments,dept_01080,
"dept_01090","01090",ภาควิชาวิศวกรรมโยธา,analytic_plan_departments,dept_01,
"dept_01091","01091",วิศวกรรมโยธา(ต่อเนื่อง),analytic_plan_departments,dept_01090,
"dept_01120","01120",ภาควิชาวิศวกรรมอาหาร,analytic_plan_departments,dept_01,
"dept_01130","01130",ภาควิชาวิศวกรรมอิเล็กทรอนิกส์,analytic_plan_departments,dept_01,
"dept_01160","01160",ภาควิชาวิศวกรรมอุตสาหการ,analytic_plan_departments,dept_01,
"dept_01170","01170",ส่วนสนับสนุนวิชาการ,analytic_plan_departments,dept_01,
"dept_01280","01280",ภาควิชาวิศวกรรมการวัดและควบคุม,analytic_plan_departments,dept_01,
"dept_01281","01281",วิศวกรรมการวัดคุม (ต่อเนื่อง),analytic_plan_departments,dept_01280,
"dept_01290","01290",ภาควิชาวิศวกรรมชีวการแพทย์,analytic_plan_departments,dept_01,
"dept_01300","01300",ศูนย์พัฒนานวัตกรรมและบริการทางวิศวกรรม,analytic_plan_departments,dept_01,
"dept_01310","01310",สำนักงานบริหารหลักสูตรวิศวกรรมสหวิทยาการนานาชาติ,analytic_plan_departments,dept_01,
"dept_01302","01302",Computer Innovation Engineering,analytic_plan_departments,dept_01310,
"dept_01303","01303",Energy Engineering,analytic_plan_departments,dept_01310,
"dept_01304","01304",Finance Engineering,analytic_plan_departments,dept_01310,
